Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,0.20,0.20,0.30,0.30,0.30,0.40,0.30,0.40,0.30,0.30,0.31,0.32
LUX,0.50,0.40,0.30,0.60,0.50,0.40,0.20,0.15,0.10,0.05,0.00,-0.05
NOR,7.60,8.10,6.00,0.80,0.80,0.60,0.50,0.50,0.40,0.50,0.50,0.60
ISL,0.30,0.50,1.10,0.83,0.57,0.30,0.30,0.30,0.30,0.30,0.30,0.30
DNK,0.50,0.60,0.70,0.90,0.90,0.70,0.70,0.60,0.60,0.90,0.80,0.80
HUN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
SVN,0.40,0.40,0.40,0.00,0.20,0.00,0.10,0.00,0.00,-0.05,-0.10,-0.15
CHL,0.00,0.00,0.10,0.10,0.00,0.10,0.07,0.03,0.00,0.00,0.00,0.00
FRA,0.20,0.30,0.20,0.20,0.30,0.30,0.30,0.30,0.30,0.40,0.42,0.44
EST,0.10,0.20,0.17,0.13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
ESP,0.10,0.10,0.30,0.30,0.40,0.30,0.20,0.10,0.10,0.10,0.10,0.10
KOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SWE,1.30,0.30,0.40,0.30,0.50,0.20,0.20,0.20,0.30,0.30,0.30,0.20
DEU,1.30,0.90,0.80,0.90,0.80,0.90,0.80,0.90,1.00,1.00,0.90,0.90
BEL,0.85,0.80,0.75,0.70,0.40,0.50,0.30,0.30,0.60,0.40,0.35,0.30
FIN,0.90,0.40,0.40,0.30,0.60,0.30,0.10,0.40,0.30,0.30,0.30,0.30
POL,0.00,0.10,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SVK,0.10,0.00,0.10,0.05,0.00,-0.03,-0.05,-0.08,-0.10,-0.12,-0.15,-0.17
CZE,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GBR,1.93,1.90,1.90,1.70,1.70,1.70,1.70,1.80,2.10,1.80,1.60,1.57
AUT,0.60,0.80,1.00,2.30,2.30,2.40,2.50,2.20,2.70,2.70,2.50,2.80
MEX,0.20,0.10,0.10,0.10,0.20,0.20,0.10,0.10,0.10,0.10,0.10,0.09
JPN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISR,0.50,0.50,0.50,0.30,0.70,0.40,0.30,0.40,0.40,0.30,0.20,0.17
NZL,0.30,0.40,0.60,0.30,0.30,0.20,0.20,0.10,0.05,0.00,-0.03,-0.07
AUS,2.50,0.60,0.50,0.50,0.30,0.20,0.10,0.10,0.10,0.20,0.20,0.20
ITA,0.91,0.84,0.77,0.70,0.63,0.57,0.50,0.40,0.20,0.20,0.20,0.13
NLD,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.10,0.10,0.10,0.10
USA,0.70,0.70,0.70,0.80,0.80,0.90,0.90,0.70,0.60,0.50,0.60,0.59
PRT,0.22,0.21,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.20,0.10
