Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FIN,8.30,6.40,5.60,7.10,8.60,2.20,1.70,4.50,5.05,5.60,6.40,6.00
POL,0.43,0.40,0.50,0.10,0.90,0.20,0.40,0.00,0.20,0.17,0.14,0.11
USA,10.50,9.90,11.50,11.70,12.30,13.40,14.30,10.40,9.70,8.80,9.00,8.85
BEL,9.75,9.77,9.78,9.80,6.70,5.40,5.70,0.00,2.50,9.90,9.92,9.93
MEX,0.80,1.30,0.40,0.60,1.30,1.00,0.60,0.40,0.50,0.40,0.30,0.25
CZE,0.00,0.00,0.80,0.00,0.70,0.70,0.90,0.87,0.83,0.80,0.00,0.60
AUT,8.63,12.07,15.50,37.00,39.00,45.60,50.00,43.20,42.00,39.80,40.40,46.40
ITA,8.06,7.37,6.69,6.00,5.30,4.60,3.90,2.80,1.70,1.90,1.20,0.51
JPN,0.10,0.10,0.20,0.10,0.10,0.00,0.03,0.07,0.10,0.07,0.03,0.00
CAN,4.00,4.20,4.20,7.50,6.60,9.30,6.50,7.80,7.60,6.20,6.44,6.69
CHL,0.40,0.40,0.40,0.40,0.30,0.80,0.88,0.96,1.04,1.12,1.20,1.28
DEU,17.60,10.10,8.80,11.70,9.10,9.80,9.50,10.60,10.60,10.00,9.90,9.70
DNK,11.70,10.50,9.70,13.10,9.10,8.10,5.00,5.60,8.40,10.00,6.60,4.80
ESP,0.60,0.90,2.50,2.60,2.70,2.60,1.20,0.70,0.60,0.80,1.30,0.80
SVN,0.00,0.00,0.00,0.03,0.07,0.10,0.13,0.17,0.20,0.23,0.25,0.28
AUS,40.50,13.20,5.70,12.40,5.20,3.50,1.80,2.60,2.60,0.70,4.10,2.50
GBR,23.74,23.20,22.10,21.00,21.80,19.80,18.30,18.70,25.00,22.60,18.30,17.76
NZL,2.70,13.30,16.80,3.20,5.50,3.50,3.50,0.00,-0.39,-0.77,-1.16,-1.54
FRA,2.20,3.20,2.70,2.90,2.50,3.00,2.70,2.60,3.30,3.00,3.09,3.18
NLD,1.30,0.50,2.10,1.50,0.60,1.70,1.10,0.10,1.30,0.40,0.50,1.70
NOR,102.00,101.80,86.60,7.10,13.00,7.50,9.80,6.90,8.40,2.80,4.80,4.60
PRT,0.73,0.77,0.80,0.70,0.77,0.83,0.90,0.97,1.03,1.10,1.10,1.10
SWE,13.50,1.40,5.60,4.20,1.20,2.50,3.20,3.90,2.80,2.70,0.90,-0.36
HUN,0.80,0.00,0.00,0.80,0.83,0.87,0.90,0.67,0.45,0.23,0.00,1.00
ISR,1.70,2.40,0.80,1.20,1.40,1.00,0.60,2.00,1.70,0.90,0.81,0.72
