Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,1.80,0.20,0.90,0.40,0.20,1.20,0.10,0.10,0.20,0.20,0.00,0.20
GBR,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.10,0.20,0.10,0.10
LUX,0.80,1.20,1.60,0.40,0.75,1.10,1.35,1.60,0.40,0.35,0.30,0.90
MEX,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.20,0.20,0.19
USA,0.70,0.10,0.30,0.70,0.40,0.70,0.30,0.10,0.60,0.40,0.10,0.04
AUT,1.80,0.70,0.30,0.20,0.10,0.30,0.10,0.10,0.00,0.20,0.10,0.00
GRC,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.42
ISR,0.20,0.00,0.05,0.10,0.05,0.00,0.00,0.10,0.10,0.10,0.10,0.09
NZL,0.30,0.30,0.20,0.40,1.00,0.30,0.50,0.20,0.20,0.30,0.30,0.30
NOR,4.60,0.60,0.80,0.90,0.30,0.90,0.30,0.80,0.30,0.20,0.10,0.50
CHE,3.50,0.40,1.10,0.90,0.90,1.60,0.10,0.40,0.10,1.00,0.10,-0.24
ITA,2.30,0.50,0.60,1.40,1.07,0.73,0.40,0.50,0.50,0.60,0.30,0.10
POL,1.40,0.10,0.20,0.50,0.10,0.20,0.00,0.10,0.00,0.20,0.00,0.20
CHL,0.60,0.70,0.30,0.40,0.80,0.30,0.10,0.20,0.10,0.30,0.27,0.23
SVK,1.90,0.90,0.90,1.60,0.50,0.50,0.20,0.30,0.30,0.20,0.20,0.03
CZE,1.50,0.40,0.40,0.80,0.30,0.50,0.20,0.60,0.60,0.80,0.70,0.50
SVN,0.30,0.10,0.20,0.30,0.20,0.50,0.40,0.25,0.10,0.10,0.10,0.08
IRL,1.50,0.30,0.10,0.20,0.20,0.10,0.10,0.10,0.10,0.10,0.10,-0.04
NLD,2.70,0.50,1.00,1.20,0.80,2.20,0.50,0.60,0.20,0.80,0.10,0.30
AUS,0.40,0.20,0.30,0.30,0.20,0.15,0.10,0.40,0.30,0.30,0.10,0.20
BEL,1.90,1.80,1.70,1.60,0.60,1.50,0.30,0.80,0.30,1.00,0.90,0.80
DEU,0.30,0.10,0.10,0.30,0.10,0.30,0.10,0.10,0.10,0.10,0.00,0.10
KOR,1.00,0.70,0.40,0.10,0.10,0.00,0.00,0.00,0.00,0.10,0.10,0.10
DNK,1.10,0.70,0.60,1.30,0.70,0.80,0.40,0.50,0.10,0.50,0.10,0.20
CAN,2.30,0.40,0.80,0.80,1.00,2.40,0.50,0.50,0.80,0.70,0.52,0.34
FRA,2.20,0.20,0.70,0.60,0.20,1.40,0.20,0.30,0.20,0.50,0.31,0.12
FIN,3.10,0.40,0.60,1.40,1.00,0.40,0.30,0.40,0.20,0.20,0.10,0.40
JPN,0.40,0.10,0.20,0.70,0.40,0.90,0.40,0.30,0.10,0.30,0.10,0.20
PRT,0.50,0.10,0.50,0.10,0.12,0.15,0.18,0.20,0.10,0.20,0.10,0.10
SWE,4.10,0.60,1.60,0.60,0.80,1.50,0.30,0.40,0.30,0.60,0.10,-0.30
EST,0.30,0.10,0.10,0.10,0.12,0.15,0.18,0.20,0.17,0.13,0.10,0.50
ISL,11.70,0.80,2.40,1.55,0.70,13.00,0.70,2.60,1.90,2.10,1.03,-0.03
HUN,0.50,0.10,0.10,0.30,0.10,0.20,0.00,0.10,0.10,0.10,0.10,0.20
