Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
POL,1.70,1.70,1.90,1.60,1.70,1.70,1.20,1.40,1.10,1.20,1.00,0.80
ITA,3.40,3.00,3.20,3.30,3.30,3.30,3.30,3.40,3.10,3.00,3.10,3.07
CAN,2.90,3.00,3.00,3.30,2.80,3.00,2.30,2.70,2.80,2.60,2.57,2.53
DNK,3.30,3.10,4.70,4.00,4.30,3.90,2.90,3.90,4.10,4.50,4.10,3.60
FIN,1.10,1.40,1.30,1.20,1.20,0.80,0.90,1.00,0.80,0.50,0.70,0.70
DEU,1.90,2.00,2.00,2.10,2.10,2.20,2.00,2.00,2.30,2.20,2.30,2.40
FRA,3.20,3.10,3.00,3.30,2.80,2.90,2.80,2.40,2.60,2.50,2.42,2.34
SVN,2.40,1.40,2.10,1.70,0.90,1.60,0.80,1.90,1.50,1.20,1.80,1.74
LUX,1.20,3.00,1.90,3.30,2.70,4.30,2.90,3.00,1.00,2.30,3.70,5.10
GBR,1.81,1.80,1.90,2.00,1.80,1.90,1.70,1.70,1.60,1.60,1.70,1.69
SWE,2.10,2.10,2.10,2.20,1.80,2.40,2.10,2.60,2.60,2.50,2.20,2.21
NLD,2.40,3.00,3.50,3.40,3.20,3.30,2.90,2.90,2.70,2.50,2.30,2.50
USA,3.70,3.80,3.70,3.60,3.40,3.50,3.10,3.40,3.30,3.10,3.10,3.04
CHL,3.30,3.80,3.50,2.50,3.10,3.40,3.70,3.30,2.90,3.60,3.63,3.67
SVK,1.30,1.40,1.50,1.50,1.30,1.00,1.30,1.80,1.40,1.20,0.80,0.75
CHE,1.70,1.90,1.90,2.10,2.10,2.00,1.80,1.60,1.80,1.60,1.70,1.70
IRL,3.50,3.40,3.50,2.20,2.30,3.20,2.30,2.80,1.70,2.20,1.90,1.74
AUS,2.30,2.40,2.50,2.50,2.60,2.50,2.40,2.50,2.20,2.00,1.70,1.80
HUN,1.30,1.20,1.50,1.00,1.30,1.80,1.80,2.00,2.30,2.40,2.20,1.80
ISL,1.10,1.60,1.60,1.50,2.90,1.40,2.80,2.10,1.30,2.40,2.54,2.69
AUT,0.70,1.10,1.30,1.20,0.90,1.60,1.20,1.30,1.70,1.50,1.60,1.70
CZE,0.90,0.90,0.70,1.00,0.70,1.20,0.90,1.10,1.30,1.20,1.20,1.40
PRT,1.80,1.90,1.90,2.30,2.33,2.35,2.38,2.40,2.70,2.90,2.70,2.90
EST,0.90,1.30,0.40,1.00,1.60,1.20,0.60,1.30,0.90,0.90,0.50,1.20
GRC,0.80,0.90,1.60,1.30,1.60,1.90,1.30,1.40,1.70,1.50,2.20,2.34
ISR,7.30,5.80,5.40,9.50,5.10,5.40,4.60,5.40,6.20,6.20,5.30,5.10
JPN,2.80,2.60,2.50,2.30,2.30,2.30,2.20,2.10,2.00,1.90,1.90,1.90
ESP,2.80,2.60,2.80,2.70,2.60,2.60,2.40,2.40,2.50,2.60,2.50,2.50
BEL,3.00,2.97,2.93,2.90,3.10,2.80,2.40,2.70,3.00,2.70,2.67,2.63
KOR,1.80,1.50,1.80,1.40,1.30,1.40,1.50,1.50,1.50,1.60,1.70,1.50
NOR,1.40,2.10,2.50,2.20,2.30,1.90,2.30,1.90,2.10,1.90,2.40,2.50
MEX,9.30,9.70,8.70,9.20,9.60,9.60,8.40,8.20,8.50,8.10,8.30,8.20
NZL,1.30,2.10,1.80,2.10,1.80,2.20,1.80,1.70,1.20,1.50,1.52,1.54
