Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,0.80,0.80,0.90,0.60,0.70,0.50,0.30,,
EST,0.30,0.60,1.00,0.90,0.90,,,0.90,,0.60,0.90,0.60
GBR,,0.60,0.60,0.60,0.60,0.60,0.70,0.50,0.60,0.60,0.60,
POL,1.40,1.50,1.30,1.10,1.30,1.20,0.90,1.00,0.70,0.70,0.60,0.60
SVK,1.30,1.20,1.10,1.00,0.70,0.70,0.70,1.10,0.60,1.10,0.90,
CHL,0.70,0.60,0.60,0.40,0.60,0.40,0.60,0.30,0.40,0.40,,
FIN,0.70,0.60,0.40,0.50,0.60,0.50,0.60,0.30,0.30,0.40,0.50,0.60
FRA,0.70,0.60,0.60,0.60,0.60,0.60,0.50,0.60,0.60,0.60,,
IRL,0.70,0.70,0.70,1.10,0.60,0.90,0.40,0.50,0.30,0.70,0.50,
PRT,0.70,0.50,0.60,0.90,,,,0.70,0.60,0.80,0.60,0.60
SVN,0.50,0.60,0.70,0.70,0.50,0.50,1.00,0.80,0.60,0.40,0.70,
SWE,0.60,0.40,0.50,0.40,0.60,0.40,0.40,0.30,0.40,0.30,0.50,
CAN,0.60,0.50,0.50,0.40,0.50,0.60,0.50,0.50,0.40,0.50,,
GRC,2.60,2.60,2.00,2.60,2.50,2.20,2.00,2.00,2.10,2.50,2.10,
NZL,0.40,0.70,0.40,0.80,0.60,0.70,0.70,1.00,0.70,0.70,,
DNK,0.40,0.60,0.50,1.00,0.50,0.40,0.50,0.70,0.70,0.50,0.60,0.80
LUX,,0.50,1.10,,0.50,1.30,1.80,,,,0.40,
DEU,0.60,0.50,0.40,0.50,0.50,0.50,0.40,0.40,0.40,0.40,0.40,0.40
HUN,1.40,1.30,0.70,0.60,0.90,0.50,0.50,0.50,0.40,0.40,0.40,0.70
ISL,2.30,3.20,0.80,,,,,,,1.70,,
JPN,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
MEX,1.00,0.90,1.00,1.00,0.90,0.80,0.90,0.90,0.80,0.90,1.00,
NLD,0.80,1.00,0.50,0.40,0.70,0.70,0.50,0.70,0.70,0.60,0.50,0.70
AUS,0.50,0.30,0.50,0.40,0.50,,0.40,0.50,0.30,0.40,0.40,0.40
AUT,0.60,0.70,0.70,0.40,0.50,0.60,0.60,0.60,0.60,0.50,0.20,0.40
CZE,1.10,1.30,0.90,1.00,0.90,0.70,0.70,0.50,0.90,0.70,0.60,0.60
ISR,0.70,0.60,0.80,1.20,0.60,1.00,0.50,0.50,0.50,0.50,0.60,
ITA,0.70,0.70,0.80,0.70,,,0.70,0.80,0.80,0.70,0.70,
KOR,0.10,0.10,0.20,0.20,0.20,0.10,0.20,0.10,0.20,0.10,0.20,0.20
NOR,0.40,0.50,0.30,0.60,0.40,0.50,0.10,0.30,0.30,0.30,0.30,0.80
ESP,0.80,0.60,0.60,0.80,0.60,0.60,0.50,0.50,0.60,0.60,0.70,0.60
USA,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.50,0.50,0.50,
