Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,14.90,14.10,14.10,13.80,12.40,12.00,10.30,11.70,10.80,9.50,8.40,8.20
ITA,12.70,12.90,12.40,11.40,,,10.10,9.60,8.70,7.90,7.30,
DNK,9.90,9.10,8.90,8.60,7.30,6.90,6.20,7.20,7.20,5.80,5.10,4.00
GBR,,6.10,6.30,6.30,6.00,5.80,5.80,5.50,5.00,4.30,3.60,
AUS,10.90,10.70,10.00,9.10,8.60,,7.60,8.30,7.60,7.70,7.00,6.80
AUT,11.60,11.40,11.60,11.60,10.50,9.50,8.70,8.40,7.90,7.40,6.60,6.20
BEL,,,,12.00,11.50,11.00,10.40,10.80,9.50,9.40,,
CHE,8.70,7.60,6.80,7.70,6.90,5.30,5.30,5.40,5.10,4.90,4.40,
DEU,9.60,8.80,8.70,8.30,7.30,6.70,6.40,6.10,5.70,5.30,4.70,5.10
ESP,15.30,14.30,13.60,13.50,11.90,10.90,9.90,9.00,7.50,6.00,5.40,4.90
FIN,10.00,10.80,10.30,9.90,9.30,9.20,8.50,9.10,8.00,6.80,6.40,6.30
SWE,7.00,7.20,6.40,6.30,5.90,5.50,5.70,5.40,4.90,4.10,3.20,
CHL,17.00,15.40,15.10,17.00,16.40,16.20,16.00,14.90,15.70,14.40,,
EST,18.30,17.20,18.10,14.10,14.90,14.80,17.50,15.30,11.80,8.50,7.00,8.80
LUX,13.90,12.50,12.40,11.30,9.30,7.90,6.60,6.30,5.90,7.00,5.10,5.60
MEX,19.60,18.80,18.90,18.90,18.80,19.50,19.80,17.00,19.00,19.10,17.50,
USA,17.00,16.90,17.10,16.80,16.60,16.60,16.40,15.70,14.10,12.80,12.40,
KOR,32.60,27.40,25.20,24.50,22.10,20.60,19.90,18.60,17.20,16.50,15.30,13.80
PRT,13.70,18.30,20.70,18.40,,,,10.80,9.70,9.60,9.00,8.70
SVK,16.30,15.60,14.50,15.90,14.10,14.00,,,13.80,9.60,9.30,
CAN,10.40,10.00,10.20,9.90,9.70,10.20,9.60,9.40,8.70,7.80,,
IRL,11.00,10.50,9.80,7.90,8.20,8.30,7.20,7.40,6.00,6.20,4.30,
ISR,9.40,9.90,9.40,8.30,8.90,8.10,7.30,6.90,6.60,5.80,5.90,
JPN,9.70,9.20,8.70,7.90,7.50,7.10,6.30,5.70,5.10,4.90,4.80,4.50
GRC,20.10,17.60,16.20,15.60,17.20,17.10,15.50,15.40,14.70,14.20,12.30,
HUN,14.90,14.90,16.90,15.40,15.60,15.00,15.40,14.80,12.40,10.70,9.40,8.70
ISL,14.30,13.30,11.90,9.60,8.50,6.90,13.40,6.00,5.50,4.20,,
NLD,7.30,6.70,6.90,7.10,5.70,5.20,5.10,5.10,4.70,4.50,4.30,4.30
NOR,9.80,7.50,8.60,8.00,7.90,6.40,6.00,5.80,6.40,5.50,5.40,4.70
POL,19.10,16.60,17.10,16.30,16.60,15.30,14.20,15.50,15.30,12.80,11.40,12.20
FRA,13.10,13.00,12.40,10.20,8.90,8.90,7.80,7.60,7.10,7.10,,
NZL,15.50,14.60,14.20,15.40,13.20,12.10,11.50,11.70,11.30,11.50,,
SVN,16.50,15.60,14.40,13.80,14.80,13.50,14.10,15.30,11.80,10.00,7.90,
