Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,1.00,0.90,0.90,0.90,0.90,0.80,0.80,0.70,0.70,0.60,0.60,0.60
HUN,,3.30,,,,,,,2.40,,,
JPN,2.70,2.50,2.30,2.10,1.90,1.80,1.70,1.60,1.50,1.40,1.30,1.20
KOR,3.30,,,3.30,,,2.20,,,,2.10,
NZL,1.60,1.60,1.60,1.60,1.60,1.70,1.60,1.50,1.40,1.40,1.20,1.20
ISR,,,1.70,,,,,,,,,
TUR,,,,,1.90,,,,,,,
USA,1.20,,1.10,,1.30,,,,,,,
CHL,,,,,,,,1.90,,,,
FIN,1.20,,,1.20,,,,,,0.70,,
GRC,,,,,,2.10,,,,,,
IRL,,,1.10,,,,,,,,,
LUX,,,0.90,0.90,0.80,0.90,0.80,0.80,0.70,0.70,0.70,0.60
NOR,1.50,1.50,1.60,1.70,1.70,1.60,1.60,1.50,1.40,1.40,1.30,1.10
ITA,,,,1.20,1.10,,,,,,,
MEX,,2.00,,,,,,,,,1.90,2.70
SVK,,3.20,2.90,2.80,2.60,2.80,2.40,2.30,2.20,2.00,1.90,1.80
AUS,0.90,1.00,1.00,1.00,1.10,1.10,1.20,,1.10,,,
AUT,,,1.00,,,,,1.40,,,,
DEU,1.20,,,,1.00,0.70,,,,0.70,,
FRA,,,,,,,1.20,,,,,
BEL,,1.10,,,,,,,,,0.90,
CHE,0.90,,,,,0.90,,,,0.80,,
ESP,1.10,,,,,1.30,,,,,,
SVN,3.10,,,,,,,,,,,
GBR,0.90,,,0.80,0.70,,,,0.70,,,
POL,3.80,,,3.20,,,,,,,,
SWE,1.00,0.90,1.10,0.90,1.00,0.90,,,0.90,,,
CZE,3.10,,,3.00,,,2.60,,,,,
ISL,,,,,,2.10,,,,,,
NLD,1.10,,0.80,,,0.90,,,,,,
PRT,,,,,,,1.50,,,,,
