Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,2.60,2.30,2.20,2.10,1.70,1.70,1.50,1.40,1.30,1.30,,
ISL,3.20,2.90,1.70,2.20,1.70,0.90,0.90,0.80,0.70,0.70,,
MEX,5.90,5.60,5.30,5.30,4.70,4.40,3.80,3.30,3.30,3.00,3.00,
NZL,2.20,2.20,2.20,2.30,2.00,1.70,2.10,1.60,1.70,1.40,,
POL,4.70,3.50,3.00,2.70,2.30,2.20,1.90,1.80,1.80,1.40,1.10,1.20
AUT,,,3.00,3.10,2.30,2.00,1.60,1.50,1.50,1.40,0.90,0.60
BEL,,,,2.10,1.80,1.50,1.30,1.50,1.20,1.20,,
CHL,1.90,2.50,2.20,2.20,2.70,2.20,2.00,2.30,2.00,2.10,,
SVK,2.70,2.50,1.60,2.10,1.70,2.00,0.90,1.30,1.20,1.00,1.10,
GBR,,2.30,2.30,2.20,2.20,2.10,1.80,1.80,1.80,1.60,1.60,
IRL,,,,,,,,1.90,1.50,1.70,1.00,
LUX,4.80,5.00,4.80,1.50,4.00,1.60,0.90,1.70,2.60,1.70,0.80,1.60
NOR,4.60,4.40,3.60,2.50,2.50,2.30,1.90,2.20,2.20,2.10,1.50,1.70
PRT,,,1.50,1.10,,,,0.90,1.00,0.90,1.00,0.90
CZE,1.60,1.30,1.60,1.30,1.00,1.00,1.10,1.10,1.00,0.90,0.90,0.80
DEU,3.90,3.20,3.00,2.60,2.30,2.10,1.70,1.60,1.50,1.40,1.20,1.10
DNK,3.30,3.00,3.10,3.10,2.60,1.60,1.40,1.80,1.40,1.30,1.10,1.00
ITA,,,,1.20,,,0.70,0.70,0.60,0.60,0.60,
CAN,1.20,1.10,0.90,1.00,0.90,0.90,0.80,0.70,0.80,0.70,,
EST,4.20,3.20,3.00,4.10,3.20,3.40,3.40,3.40,3.20,2.90,3.10,2.40
FIN,2.40,2.00,1.90,1.70,1.50,1.80,1.70,1.90,1.80,1.60,1.40,1.70
NLD,0.60,0.60,0.70,0.80,0.50,0.40,0.40,0.40,0.40,0.30,0.30,0.40
SVN,2.40,2.70,2.70,2.90,1.90,1.70,0.40,0.20,0.50,1.60,1.00,
USA,1.80,1.70,1.60,1.50,1.40,1.40,1.30,1.20,1.10,1.10,1.10,
AUS,2.70,2.50,2.30,1.70,1.80,,2.10,2.00,2.20,2.00,1.90,1.70
ESP,1.90,1.80,2.00,2.00,1.90,2.00,1.50,1.70,1.50,1.80,1.80,1.60
JPN,3.30,2.90,2.60,2.50,2.10,2.00,1.70,1.50,1.30,1.10,1.10,1.00
KOR,21.00,23.80,24.90,18.40,13.30,10.80,9.20,8.60,7.80,6.60,6.40,5.30
SWE,1.90,1.90,1.90,1.70,1.40,1.30,1.30,1.30,1.20,1.20,1.00,
HUN,2.30,1.60,2.00,2.40,2.10,2.40,1.80,2.30,1.70,1.30,1.20,1.20
ISR,3.30,2.60,3.00,2.50,2.60,2.90,3.00,2.50,1.80,1.80,1.50,
