Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,0.80,0.70,0.50,0.60,0.50,0.60,0.50,0.50,0.50,0.40,,
KOR,27.40,24.90,27.40,25.10,21.20,19.70,18.20,15.70,15.50,13.50,14.20,13.20
NOR,1.60,1.40,1.00,1.90,0.90,1.00,0.80,0.60,0.60,0.90,0.50,0.80
AUT,1.40,1.10,1.40,0.90,0.80,0.90,1.00,0.70,0.80,0.80,0.50,0.80
CHE,0.90,0.70,0.40,0.50,0.30,0.40,0.50,0.30,0.30,0.40,0.30,
FIN,3.80,2.80,2.80,1.90,1.80,2.00,1.40,1.30,1.30,1.30,1.00,1.30
IRL,2.10,1.40,1.10,1.10,1.00,0.50,0.80,2.70,1.70,1.50,1.10,
NZL,0.90,0.40,0.40,0.80,1.30,0.60,0.80,0.70,0.40,0.50,,
CZE,2.30,1.40,1.30,1.50,1.10,1.20,0.90,0.90,0.90,0.80,0.60,0.70
GBR,,1.00,1.20,1.10,0.90,0.90,1.00,0.90,0.90,0.80,0.60,
GRC,1.30,1.50,1.20,1.70,1.10,0.90,1.10,1.10,1.00,1.20,0.80,
LUX,1.00,0.90,0.50,1.00,,0.40,0.50,0.90,,,0.40,
SWE,0.80,0.80,1.00,0.70,0.40,0.60,0.70,0.60,0.50,0.60,0.30,
BEL,,,,1.50,1.00,1.20,1.00,0.90,1.00,0.80,,
CHL,9.70,11.80,9.80,10.30,11.00,9.50,8.80,8.10,6.20,6.10,,
DEU,1.20,0.90,1.00,0.90,0.80,0.70,0.70,0.70,0.60,0.50,0.50,0.50
EST,14.10,14.20,12.50,12.50,15.40,8.10,8.10,8.80,6.30,6.00,6.10,7.00
FRA,2.70,2.30,2.10,2.10,1.70,1.70,1.50,1.30,1.20,1.20,,
ISR,2.80,1.80,2.10,1.60,1.30,1.20,0.90,1.30,0.80,0.50,0.80,
POL,6.10,5.90,5.00,5.10,4.60,4.40,3.80,3.70,3.80,3.70,2.70,3.00
SVN,0.90,2.00,2.50,2.30,0.90,0.90,0.90,2.50,2.10,1.40,1.40,
AUS,0.50,0.80,0.50,0.40,0.50,,0.40,0.40,0.30,0.40,0.40,0.30
ESP,1.90,1.90,1.80,1.60,1.60,1.60,1.40,1.30,1.10,1.20,1.20,0.80
ITA,1.00,1.00,1.00,1.00,,,0.70,0.80,0.70,0.80,0.70,
PRT,4.50,4.00,5.90,5.60,,,,3.60,3.20,3.50,2.80,2.80
SVK,2.40,2.00,2.40,2.60,2.20,1.80,1.60,0.90,1.20,1.40,1.10,
HUN,7.00,6.90,5.90,4.80,5.30,4.40,3.40,3.90,3.30,2.60,2.50,1.80
ISL,,2.60,1.90,2.40,1.40,,1.20,,,1.70,,
MEX,10.30,10.50,9.90,9.20,7.00,7.10,6.50,5.50,6.00,5.40,5.60,
NLD,0.90,0.90,0.80,0.60,0.80,0.80,0.70,0.40,0.50,0.50,0.50,0.30
DNK,1.00,0.70,0.80,0.60,0.80,0.80,0.60,0.70,0.40,0.70,0.80,0.40
JPN,6.50,5.80,5.20,4.90,4.60,4.50,4.10,3.80,3.60,3.10,3.10,2.80
USA,0.50,0.50,0.50,0.40,0.40,0.40,0.40,0.30,0.30,0.30,0.30,
