Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,3.30,2.70,3.70,2.10,3.60,4.10,4.70,5.20,1.10,1.70,2.60,1.20
CHE,1.50,1.20,3.30,0.70,0.40,2.10,1.30,1.90,0.20,4.40,0.80,
GBR,,4.90,3.60,4.70,4.00,5.30,4.60,4.80,5.70,5.40,5.30,
JPN,0.90,0.90,1.00,1.20,1.00,0.80,1.10,0.60,0.80,1.10,1.00,1.00
KOR,3.80,1.90,1.70,1.10,1.10,1.10,1.00,1.20,1.10,0.40,1.10,1.40
LUX,1.00,0.00,6.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.50
NLD,3.10,2.50,2.00,3.00,2.10,3.10,2.00,3.30,2.00,1.50,1.50,1.30
NOR,1.60,1.80,0.70,1.40,1.30,1.20,0.10,0.30,0.50,0.50,0.50,0.10
SVN,2.10,3.10,0.20,2.30,3.70,2.50,0.00,1.70,0.80,1.70,0.00,
SWE,0.50,0.20,1.80,0.30,2.20,0.30,3.00,0.60,0.80,0.00,1.50,
USA,5.40,5.80,6.10,7.50,6.80,5.80,6.00,5.30,5.60,6.10,5.60,
CAN,1.40,1.80,2.30,1.90,1.60,1.80,2.50,3.60,2.40,2.00,,
DEU,1.80,1.10,1.50,1.60,1.70,1.40,1.30,1.90,2.20,1.40,2.10,2.00
BEL,,,,1.80,1.70,0.80,0.90,1.90,1.50,3.50,,
MEX,9.10,7.30,7.20,7.90,7.10,9.10,7.90,9.40,8.30,9.90,10.10,
ESP,2.70,2.00,1.90,1.70,2.40,1.50,1.80,2.30,1.40,2.20,2.00,2.00
HUN,1.20,1.80,0.60,2.40,2.30,2.80,3.20,5.40,2.00,5.40,3.30,5.70
AUS,2.20,1.30,3.80,1.90,3.00,,0.70,2.50,1.00,2.90,2.00,2.90
DNK,0.50,0.70,2.70,0.80,2.10,1.50,1.50,0.30,0.70,0.90,1.20,1.40
NZL,3.20,1.40,0.50,1.70,3.30,3.90,1.30,3.10,1.60,3.20,,
PRT,2.10,2.10,2.60,2.40,,,,0.50,0.80,1.10,0.00,0.00
SVK,0.00,0.00,,,,1.30,0.10,,,,,
ISL,,,,0.00,0.00,0.00,,,,1.90,,
POL,1.50,0.20,0.20,0.20,0.30,0.50,0.80,0.60,0.20,0.70,0.70,0.80
EST,5.00,14.30,10.00,5.50,8.00,6.20,5.90,6.50,11.60,0.00,2.50,0.00
FRA,1.50,2.20,1.90,2.00,1.40,1.70,1.40,0.80,1.70,2.00,,
ITA,1.60,1.50,0.70,0.80,,,1.60,1.20,1.00,1.50,0.90,
CHL,5.30,6.90,4.70,2.90,2.20,4.30,2.00,1.30,2.10,1.80,,
CZE,1.90,0.40,0.30,0.20,0.00,1.20,0.80,1.70,2.60,3.00,3.50,3.30
FIN,3.70,2.10,0.30,0.20,0.50,1.30,0.30,0.40,1.30,1.70,1.90,1.50
GRC,4.60,2.80,2.40,3.00,2.10,2.70,1.20,2.60,2.70,3.70,3.40,
IRL,4.60,7.00,5.40,5.00,5.30,2.10,1.20,0.10,1.70,1.40,0.10,
ISR,4.50,4.10,6.40,4.90,3.50,1.40,4.50,6.70,7.00,4.70,4.20,
